entry,at,order
"The player ""Zek @ TkiNIriU_5"" passed the room ownership to ""not Krish @ p0RkKY2sKx"".",2021-07-02T06:00:07.027Z,162520560702700
"The player ""not Krish @ p0RkKY2sKx"" stand up with the stack of 98.03.",2021-07-02T05:53:10.012Z,162520519001200
"-- ending hand #137 --",2021-07-02T05:53:07.090Z,162520518709002
"""Danny @ O7X4xHB9uL"" collected 0.40 from pot",2021-07-02T05:53:07.090Z,162520518709001
"Uncalled bet of 0.60 returned to ""Danny @ O7X4xHB9uL""",2021-07-02T05:53:07.090Z,162520518709000
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:53:06.280Z,162520518628000
"""Danny @ O7X4xHB9uL"" raises to 0.80",2021-07-02T05:53:04.562Z,162520518456200
"""not Krish @ p0RkKY2sKx"" posts a big blind of 0.20",2021-07-02T05:53:00.207Z,162520518020705
"""Danny @ O7X4xHB9uL"" posts a small blind of 0.10",2021-07-02T05:53:00.207Z,162520518020704
"Player stacks: #2 ""Danny @ O7X4xHB9uL"" (26.77) | #6 ""not Krish @ p0RkKY2sKx"" (98.23)",2021-07-02T05:53:00.207Z,162520518020701
"-- starting hand #137  (No Limit Texas Hold'em) (dealer: ""Danny @ O7X4xHB9uL"") --",2021-07-02T05:53:00.207Z,162520518020700
"""not Krish @ p0RkKY2sKx"" shows a 5♦, 10♠.",2021-07-02T05:52:58.998Z,162520517899800
"-- ending hand #136 --",2021-07-02T05:52:56.578Z,162520517657802
"""Danny @ O7X4xHB9uL"" collected 1.20 from pot",2021-07-02T05:52:56.578Z,162520517657801
"Uncalled bet of 0.60 returned to ""Danny @ O7X4xHB9uL""",2021-07-02T05:52:56.578Z,162520517657800
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:52:55.771Z,162520517577100
"""Danny @ O7X4xHB9uL"" bets 0.60",2021-07-02T05:52:53.838Z,162520517383800
"Flop:  [7♣, 7♦, Q♠]",2021-07-02T05:52:48.402Z,162520516840200
"""not Krish @ p0RkKY2sKx"" calls 0.60",2021-07-02T05:52:47.576Z,162520516757600
"""Danny @ O7X4xHB9uL"" raises to 0.60",2021-07-02T05:52:15.864Z,162520513586400
"""not Krish @ p0RkKY2sKx"" calls 0.20",2021-07-02T05:52:12.658Z,162520513265800
"""Danny @ O7X4xHB9uL"" posts a big blind of 0.20",2021-07-02T05:52:08.556Z,162520512855607
"""not Krish @ p0RkKY2sKx"" posts a small blind of 0.10",2021-07-02T05:52:08.556Z,162520512855606
"Player stacks: #2 ""Danny @ O7X4xHB9uL"" (26.17) | #6 ""not Krish @ p0RkKY2sKx"" (98.83)",2021-07-02T05:52:08.556Z,162520512855603
"-- starting hand #136  (No Limit Texas Hold'em) (dealer: ""not Krish @ p0RkKY2sKx"") --",2021-07-02T05:52:08.556Z,162520512855602
"The player ""NotNa @ xab-egRwTG"" quits the game with a stack of 0.00.",2021-07-02T05:52:08.556Z,162520512855601
"The player ""Zek @ TkiNIriU_5"" quits the game with a stack of 0.00.",2021-07-02T05:52:08.556Z,162520512855600
"-- ending hand #135 --",2021-07-02T05:52:02.532Z,162520512253202
"""not Krish @ p0RkKY2sKx"" collected 21.44 from pot with Pair, A's (combination: A♥, A♣, K♦, J♦, 9♠)",2021-07-02T05:52:02.532Z,162520512253201
"""not Krish @ p0RkKY2sKx"" collected 30.27 from pot with Pair, A's (combination: A♥, A♣, K♦, J♦, 9♠)",2021-07-02T05:52:02.532Z,162520512253200
"River: 9♠, A♣, 6♣, 5♥ [K♦]",2021-07-02T05:51:58.500Z,162520511850000
"Turn: 9♠, A♣, 6♣ [5♥]",2021-07-02T05:51:54.474Z,162520511447400
"""not Krish @ p0RkKY2sKx"" shows a A♥, J♦.",2021-07-02T05:51:50.453Z,162520511045302
"""NotNa @ xab-egRwTG"" shows a K♥, 8♥.",2021-07-02T05:51:50.453Z,162520511045301
"""Zek @ TkiNIriU_5"" shows a 3♣, 3♠.",2021-07-02T05:51:50.453Z,162520511045300
"""NotNa @ xab-egRwTG"" calls 10.72 and go all in",2021-07-02T05:51:49.644Z,162520510964400
"""not Krish @ p0RkKY2sKx"" bets 10.72 and go all in",2021-07-02T05:51:00.640Z,162520506064000
"Flop:  [9♠, A♣, 6♣]",2021-07-02T05:50:54.157Z,162520505415700
"""not Krish @ p0RkKY2sKx"" calls 10.09",2021-07-02T05:50:53.351Z,162520505335100
"""NotNa @ xab-egRwTG"" calls 10.09",2021-07-02T05:50:52.005Z,162520505200500
"""Zek @ TkiNIriU_5"" raises to 10.09 and go all in",2021-07-02T05:50:25.537Z,162520502553700
"""not Krish @ p0RkKY2sKx"" calls 0.45",2021-07-02T05:50:23.344Z,162520502334400
"""NotNa @ xab-egRwTG"" raises to 0.45",2021-07-02T05:50:21.757Z,162520502175700
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:50:17.909Z,162520501790900
"""Zek @ TkiNIriU_5"" posts a big blind of 0.20",2021-07-02T05:50:08.805Z,162520500880507
"""not Krish @ p0RkKY2sKx"" posts a small blind of 0.10",2021-07-02T05:50:08.805Z,162520500880506
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (10.09) | #2 ""Danny @ O7X4xHB9uL"" (26.17) | #3 ""NotNa @ xab-egRwTG"" (20.81) | #6 ""not Krish @ p0RkKY2sKx"" (67.93)",2021-07-02T05:50:08.805Z,162520500880501
"-- starting hand #135  (No Limit Texas Hold'em) (dealer: ""NotNa @ xab-egRwTG"") --",2021-07-02T05:50:08.805Z,162520500880500
"""NotNa @ xab-egRwTG"" shows a 10♦, 7♣.",2021-07-02T05:50:06.531Z,162520500653100
"""Zek @ TkiNIriU_5"" shows a J♦, K♦.",2021-07-02T05:50:06.167Z,162520500616700
"""not Krish @ p0RkKY2sKx"" shows a 4♣, 3♥.",2021-07-02T05:50:04.437Z,162520500443700
"-- ending hand #134 --",2021-07-02T05:50:03.798Z,162520500379802
"""Zek @ TkiNIriU_5"" collected 0.50 from pot",2021-07-02T05:50:03.798Z,162520500379801
"Uncalled bet of 9.59 returned to ""Zek @ TkiNIriU_5""",2021-07-02T05:50:03.798Z,162520500379800
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:50:02.991Z,162520500299100
"""NotNa @ xab-egRwTG"" folds",2021-07-02T05:50:02.091Z,162520500209100
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:49:52.355Z,162520499235500
"""Zek @ TkiNIriU_5"" raises to 9.79 and go all in",2021-07-02T05:49:49.526Z,162520498952600
"""not Krish @ p0RkKY2sKx"" posts a big blind of 0.20",2021-07-02T05:49:44.458Z,162520498445807
"""NotNa @ xab-egRwTG"" posts a small blind of 0.10",2021-07-02T05:49:44.458Z,162520498445806
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (9.79) | #2 ""Danny @ O7X4xHB9uL"" (26.17) | #3 ""NotNa @ xab-egRwTG"" (20.91) | #6 ""not Krish @ p0RkKY2sKx"" (68.13)",2021-07-02T05:49:44.458Z,162520498445801
"-- starting hand #134  (No Limit Texas Hold'em) (dealer: ""Danny @ O7X4xHB9uL"") --",2021-07-02T05:49:44.458Z,162520498445800
"""NotNa @ xab-egRwTG"" shows a Q♦, J♥.",2021-07-02T05:49:40.476Z,162520498047600
"""Danny @ O7X4xHB9uL"" shows a K♠, Q♥.",2021-07-02T05:49:40.238Z,162520498023800
"""not Krish @ p0RkKY2sKx"" shows a A♠, 9♠.",2021-07-02T05:49:40.223Z,162520498022300
"-- ending hand #133 --",2021-07-02T05:49:39.442Z,162520497944202
